Sequence,Obstacle x,Obstacle y,Obstacle z,Lux,OptiTrack initial y rotation offset
1,-0.75949,1.9422,2.3165,100,-1.48352986419518
2,-0.75949,1.9422,2.3165,100,-1.48352986419518
3,-0.75949,1.9422,2.3165,100,-1.48352986419518
4,-0.75949,1.9422,2.3165,100,-1.48352986419518
5,-0.75949,1.9422,2.3165,100,-1.48352986419518
6,-0.75949,1.9422,2.3165,100,-1.48352986419518
7,-0.75949,1.9422,2.3165,100,-1.48352986419518
8,-0.70595,1.9822,-1.5893,100,-1.48352986419518
9,-0.70595,1.9822,-1.5893,100,-1.48352986419518
10,-0.70595,1.9822,-1.5893,100,-1.48352986419518
11,-0.70595,1.9822,-1.5893,100,-1.48352986419518
12,-0.70595,1.9822,-1.5893,100,-1.48352986419518
13,-0.70595,1.9822,-1.5893,100,-1.48352986419518
14,-0.70595,1.9822,-1.5893,100,-1.48352986419518
15,-0.70595,1.9822,-1.5893,100,-1.48352986419518
16,-0.70595,1.9822,-1.5893,100,-1.48352986419518
17,-0.70595,1.9822,-1.5893,100,-1.48352986419518
18,-0.70595,1.9822,-1.5893,100,-1.48352986419518
19,-0.70595,1.9822,-1.5893,100,-1.48352986419518
20,1.2808,1.8204,0.020112,100,-1.51843644923507
21,1.2808,1.8204,0.020112,100,-1.51843644923507
22,1.2808,1.8204,0.020112,100,-1.51843644923507
23,1.2808,1.8204,0.020112,100,-1.51843644923507
24,1.2808,1.8204,0.020112,100,-1.51843644923507
25,1.2808,1.8204,0.020112,100,-1.51843644923507
26,1.2808,1.8204,0.020112,100,-1.51843644923507
27,1.2808,1.8204,0.020112,100,-1.51843644923507
28,1.2808,1.8204,0.020112,100,-1.51843644923507
29,1.2808,1.8204,0.020112,100,-1.51843644923507
30,1.2808,1.8204,0.020112,100,-1.51843644923507
31,1.2808,1.8204,0.020112,100,-1.51843644923507
32,1.2808,1.8204,0.020112,100,-1.51843644923507
33,1.2808,1.8204,0.020112,100,-1.51843644923507
34,1.2808,1.8204,0.020112,100,-1.51843644923507
35,1.2808,1.8204,0.020112,100,-1.51843644923507
36,1.2808,1.8204,0.020112,100,-1.51843644923507
37,1.2808,1.8204,0.020112,100,-1.51843644923507
38,1.2808,1.8204,0.020112,100,-1.51843644923507
39,1.2808,1.8204,0.020112,100,-1.51843644923507
40,1.2808,1.8204,0.020112,100,-1.51843644923507
41,1.2808,1.8204,0.020112,100,-1.51843644923507
42,1.2808,1.8204,0.020112,100,-1.51843644923507
43,1.2808,1.8204,0.020112,100,-1.51843644923507
44,1.2808,1.8204,0.020112,100,-1.51843644923507
45,1.2808,1.8204,0.020112,100,-1.51843644923507
46,1.2808,1.8204,0.020112,100,-1.51843644923507
47,1.2808,1.8204,0.020112,100,-1.51843644923507
48,1.2808,1.8204,0.020112,100,-1.51843644923507
49,1.2808,1.8204,0.020112,100,-1.51843644923507
50,1.2808,1.8204,0.020112,100,-1.51843644923507
51,1.2808,1.8204,0.020112,100,-1.51843644923507
52,1.2808,1.8204,0.020112,100,-1.51843644923507
53,1.2808,1.8204,0.020112,100,-1.51843644923507
54,1.2808,1.8204,0.020112,100,-1.51843644923507
55,1.2808,1.8204,0.020112,100,-1.51843644923507
56,1.2808,1.8204,0.020112,100,-1.51843644923507
57,1.2808,1.8204,0.020112,100,-1.51843644923507
58,1.2808,1.8204,0.020112,100,-1.51843644923507
59,1.2808,1.8204,0.020112,100,-1.51843644923507
60,1.2808,1.8204,0.020112,100,-1.51843644923507
61,1.2808,1.8204,0.020112,100,-1.51843644923507
62,1.2808,1.8204,0.020112,100,-1.51843644923507
63,1.2808,1.8204,0.020112,100,-1.51843644923507
64,1.2808,1.8204,0.020112,100,-1.51843644923507
65,1.2808,1.8204,0.020112,100,-1.51843644923507
66,1.2808,1.8204,0.020112,100,-1.51843644923507
67,1.2808,1.8204,0.020112,100,-1.51843644923507
68,1.2808,1.8204,0.020112,1,-1.51843644923507
69,1.2808,1.8204,0.020112,1,-1.51843644923507
70,1.2808,1.8204,0.020112,1,-1.51843644923507
